date,ISR,q50,q_up,q_down
2020-03-01,25.468219165545005,116.01602031630959,554.6258532078378,39.59228529286172
2020-03-02,20.623892471726965,90.9461864322965,430.81711117279815,32.04965831872344
2020-03-03,17.420640618811454,68.76832166398778,366.4234425302634,26.62119907579236
2020-03-04,13.63354483211331,46.63611548138232,194.788557640254,17.915649808696774
2020-03-05,8.994352493408087,31.46792701189233,132.07335158126494,11.531552696952453
2020-03-06,4.481396680926133,21.1342068051871,76.83809798629176,6.787277982354596
2020-03-07,0.5680643680047213,0.4914699890500486,1.3807231212346485,0.12921623353879244
2020-03-08,0.8047578546733551,0.8047578546733551,1.7873536668290284,0.15201909828093232
2020-03-09,0.8047578546733551,0.8047578546733551,2.1899402075810666,0.23458479130192983
2020-03-10,0.9941126440082623,0.9941126440082623,3.1596604409953004,0.3081373510978967
2020-03-11,1.009892209786171,1.1997719793360873,3.8999366568183005,0.34734223121020713
2020-03-12,1.262365262232714,1.2162869203247704,4.200229004209868,0.41115144319028424
2020-03-13,1.404381354233894,2.0815199536237357,7.225681313755674,0.7885096170772574
2020-03-14,1.7673113671257994,2.8870299436612545,9.26947090584247,1.0532235599531938
2020-03-15,2.3984939982421567,3.1800999291473735,11.639184556507692,1.1720535120150224
2020-03-16,2.477391827131701,4.1871899836183495,11.639915655858898,1.571564695123914
2020-03-17,2.7614240111340616,5.463989878262305,13.40368335590041,1.7025284197175738
2020-03-18,3.5504023000295084,5.411351839294146,14.915547213796307,2.086462123905796
2020-03-19,5.159918009376218,8.824549783632907,18.42305950044898,2.595726103146919
2020-03-20,6.359165008497296,9.26521452995043,19.336660762853445,2.8503580927674808
2020-03-21,8.78921813829527,10.791564900491396,21.23262067019503,3.799063720746022
2020-03-22,10.572309071198978,12.819770102215513,24.947849971772246,3.9059243327274835
2020-03-23,13.459969608556312,13.459969608556312,27.637959384226267,4.665913577662278
2020-03-24,15.590210988574016,15.506998071317115,31.888251829000176,4.745764718262745
2020-03-25,32.58480333138193,17.31024516096544,36.09990773094359,5.374938260844301
2020-03-26,35.756496052741625,19.592500059722752,39.582956222824706,7.4086986838664695
2020-03-27,39.54359183943976,21.188380390401925,45.182701218579396,9.14200893428893
2020-03-28,45.87119771638124,23.22619681265379,50.6741342763584,11.52725307091835
2020-03-29,53.082459276885615,25.779605341740464,53.082459276885615,11.970132775501902
2020-03-30,57.18514637914193,29.045022018360925,57.18514637914193,14.149161800168512
2020-03-31,65.01181100498476,32.43319872041824,64.34547078792424,14.165012049637873
2020-04-01,58.74732339115492,35.06026326476703,64.97302363467755,14.614021325430723
2020-04-02,65.70611189921277,34.45999571403803,65.70611189921277,14.491929263444073
2020-04-03,69.3196324623539,41.56736983005838,67.74328657692405,14.526860164444058
2020-04-04,66.77912237211056,41.00410970701642,65.98220895083438,14.49780644411517
2020-04-05,66.00592364899303,37.47802339996354,66.00592364899303,13.891458269275164
2020-04-06,66.41619235921867,37.93214057587187,66.41619235921867,12.397753079030524
2020-04-07,61.38251087606571,38.599959952207634,61.61398291356529,11.20278892683481
2020-04-08,52.261921856434356,36.41237451574032,60.87334348710463,9.973810076488778
2020-04-09,49.090229135074665,35.610473772308396,58.64174509261728,9.891039868385135
2020-04-10,47.0231060181686,32.68454064195496,61.22148735740845,9.676589783752974
2020-04-11,45.634504229712604,32.587983653352424,64.65015439304146,10.26726808703805
2020-04-12,42.84152108702273,30.479822735530618,64.95186908948061,9.676589783752974
2020-04-13,42.320795416351736,28.065898020467472,64.15563510905592,9.484713392239989
2020-04-14,44.15122504658917,25.539323485368055,63.7364647909979,8.856412267089619
2020-04-15,48.86931521418394,23.152809620369304,60.966859284318964,8.94294475737979
2020-04-16,44.024988520365895,24.44505945964573,59.97652985592565,8.815027163037799
2020-04-17,40.61660231233757,22.58332322887913,53.96679070649638,8.748376802856455
2020-04-18,39.7960648918863,24.36224989176814,53.15412804028035,8.8261724338519425
2020-04-19,37.01886131497434,24.904973280446146,52.098545670000426,8.552492668461184
2020-04-20,33.56313640961228,25.711520538620398,52.43188747114146,8.415652785765808
2020-04-21,29.918056714915316,25.20648627415615,54.683866530244956,8.56854889562737
2020-04-22,31.511792858484117,26.020571357173154,52.53010546970505,8.612415186901911
2020-04-23,32.269212015823754,25.88489051000365,48.85518678560679,8.464829334154754
2020-04-24,32.75837855493892,23.44587127264344,46.00477961726714,7.66018776246704
2020-04-25,32.07985722648885,22.63332224109799,45.66273664613504,7.4387395569198596
2020-04-26,30.801712398478212,20.52160697484134,42.87482192154534,7.184539509700395
2020-04-27,29.06596016290824,20.325262848964773,39.990126098296415,7.297025894252867
2020-04-28,28.182304479345337,19.96976977934855,35.39933874529743,6.572302837076422
2020-04-29,21.08149987928632,18.715322490911714,33.16642930810019,6.572302837076422
2020-04-30,18.0360436841499,16.97799891747385,36.699049870364924,5.974820760978565
2020-05-01,16.45808710635901,15.664037301890643,35.52851567495437,6.212513788868495
2020-05-02,13.996474845005213,14.52753065266437,32.39995772620295,5.395782450245698
2020-05-03,12.071367820100328,13.565214924548442,29.835757643910036,5.047667453455652
2020-05-04,10.903679952535066,10.903679952535066,26.366108554070227,5.584212507512737
2020-05-05,8.852336401406907,10.383764787009316,25.963663791832204,4.481115570733924
2020-05-06,7.511073310284648,11.013083865009879,24.237710519733998,4.538178464318709
2020-05-07,6.864111113390383,11.03398087541494,24.31286515897144,3.808948235123835
2020-05-08,5.286154535599489,11.188638760290715,23.18704476781088,3.9105580384022915
2020-05-09,4.2447031942575,10.924001935058834,22.391428639683145,3.96258831180037
