isr_rep_num,q50,q_up,q_down,date
1.7250373716099485,1.8060956849598089,1.9631167182777947,1.6897756740505576,2020-09-12
1.588724279350762,1.5520950660234032,1.6942630830408363,1.4714864592200754,2020-09-13
1.516495729297323,1.4068410183006599,1.516495729297323,1.31350290855633,2020-09-14
1.4695247428087859,1.3027497518722502,1.4695247428087859,1.236848990835433,2020-09-15
1.3987214365903904,1.2295715682476707,1.3546779422716309,1.1684901071990343,2020-09-16
1.3068000649597473,1.1767224271190977,1.3068000649597473,1.120765014002418,2020-09-17
1.1425914123179797,1.144105369242191,1.232369183172585,1.0787003248825606,2020-09-18
1.0402889916118143,1.1079903334840195,1.2071740372449609,1.0402889916118143,2020-09-19
1.0745521733772059,1.0905894796032454,1.2336183931733258,1.044548292661024,2020-09-20
1.0483692091837118,1.1037286722804898,1.2400368503027845,1.0407583300135959,2020-09-21
1.0005013804130032,1.1348707410884427,1.2157855615532893,1.0223104448881069,2020-09-22
0.9130796468848328,1.1149595114671504,1.2288841807279731,1.0269519342768179,2020-09-23
0.9117337555277378,1.1093870612367902,1.2231400197019429,1.0277100867510414,2020-09-24
1.05027957255625,1.1831843652091782,1.2886219922545266,1.0807217902839619,2020-09-25
1.0450500721066707,1.1604869381961944,1.294844578985076,1.06248858413687,2020-09-26
0.9053649934322081,1.2000166379520876,1.2736203088340878,1.0573135633259394,2020-09-27
0.8092067233338432,1.2048322900189496,1.3571431385627655,1.0558734561879604,2020-09-28
0.7277712846419683,1.223038654079618,1.4053517041779156,1.0554585809263828,2020-09-29
0.7217314282329986,1.2595793980602417,1.4092398633056642,1.0505358499232977,2020-09-30
0.7311857496959993,1.1772152603796593,1.3405797753142548,1.0722230015153362,2020-10-01
0.6964126227748071,1.1677847524931164,1.3079657824976516,1.0411071229432065,2020-10-02
0.6619651182867357,1.1421054484872712,1.3437818852581607,1.0283730546906416,2020-10-03
0.6377805637304335,1.1519355629727526,1.365942621355194,1.0341886844198303,2020-10-04
0.6060103045367652,1.1362536317335714,1.3934589650992237,1.0426200796778562,2020-10-05
0.5983788607052247,1.1075414194065105,1.3867549183412513,1.0493974339182346,2020-10-06
0.6340650702156166,1.1122574805122125,1.321725641145286,1.0136857359026217,2020-10-07
0.655969385353698,1.1431580203750564,1.2908558897756044,1.0297722473924364,2020-10-08
0.6160953722953255,1.1582029476774758,1.2716430359074125,1.0310373570635047,2020-10-09
0.5988106228758595,1.1427425296182898,1.2969466509846315,1.0408435004135572,2020-10-10
0.5917369144109754,1.1949317989259505,1.3210160213990931,1.0696328398409836,2020-10-11
0.6074481844885165,1.2253999611310673,1.3159090533380544,1.11567667669564,2020-10-12
0.6130546596872537,1.2536376486230594,1.364460991840624,1.111970147701115,2020-10-13
0.6577982673346248,1.2670663252978598,1.3389448425781447,1.1244340011293248,2020-10-14
0.6850429218637378,1.2521695038897565,1.3589153367675797,1.0986456170126269,2020-10-15
0.6695306661602595,1.2588808402577019,1.3446563866480015,1.1081249423484087,2020-10-16
0.6860720988926804,1.2103383624747173,1.3650769834368444,1.0891485987947078,2020-10-17
0.6822822598455972,1.2062494204362884,1.3805797118245695,1.06383368261561,2020-10-18
0.6809342000442142,1.2340457666471565,1.36402154236853,1.0727806372936253,2020-10-19
0.7090209801518547,1.2230024065303378,1.368182330425119,1.0706114525938144,2020-10-20
0.7590852617530944,1.1512349389539283,1.323055645914584,1.0777719384236384,2020-10-21
0.8162052016272429,1.1128763638675478,1.2626739881513114,1.0381729066390541,2020-10-22
0.8390306558809794,1.1030508237685828,1.2509447797163749,1.0009940152570622,2020-10-23
0.8646542076485761,1.1106208349667241,1.2103056367480833,0.9823696810961748,2020-10-24
0.90319330376413,1.0997832542605424,1.2065022255755768,0.9799000411936614,2020-10-25
0.9119498421928164,1.1189746571766481,1.2150079155722293,0.9951140445610759,2020-10-26
0.9332610663583354,1.1064130174766387,1.2068138799217663,0.9693486050581847,2020-10-27
0.9462651561732583,1.078679782883424,1.2172299687887187,0.9611988823164153,2020-10-28
0.932859368053121,1.0964315391546364,1.203430139479175,0.9999286180828147,2020-10-29
0.9312841507035391,1.0370233961862518,1.1764376985009957,0.9312841507035391,2020-10-30
0.908940436553384,1.0210833790012894,1.1579330287102707,0.9020621450248791,2020-10-31
0.9248400417502206,1.0149191599663743,1.1421072380574133,0.9340935696367969,2020-11-01
1.0027525039148915,1.0555459589205067,1.1703229312828773,0.9600477063548563,2020-11-02
1.025558898076335,1.0345952255613873,1.1499452726720145,0.9293593243982065,2020-11-03
1.0395197227145558,1.0432428768714845,1.1273179894417176,0.9681503722031043,2020-11-04
1.0524649292674093,1.005447725915973,1.0838177263881341,0.924301574276204,2020-11-05
1.0760916250113126,1.0414931210844467,1.1017057764083946,0.9037874045385914,2020-11-06
1.0945378614120251,1.0373023885904917,1.112749877396033,0.967241106593792,2020-11-07
1.0808961410708107,1.0194827034405443,1.1291226357325825,0.9254418733288639,2020-11-08
1.0468773707914278,1.0091789095069468,1.104660901770795,0.9459719770910556,2020-11-09
1.0362170903325167,1.0052412124080174,1.0966656386615496,0.9053611085493728,2020-11-10
1.054564161317368,0.9807498439911795,1.067390230989684,0.9106899503797012,2020-11-11
1.0727824583183208,1.0096940705500235,1.0793349587090948,0.9292769853364452,2020-11-12
1.074984305295969,0.9910692149682149,1.074984305295969,0.9055975479978903,2020-11-13
1.0633785995841152,0.9824131354198794,1.0716707768831994,0.8881450531319774,2020-11-14
1.1035418822330338,0.9951684578088306,1.0828995660092673,0.8806330495062134,2020-11-15
